BOM Name,OfbizCode,Item To Produce,Qty,UOM,Type,Raw Mat./By Product,itemQty,Unit,Ofbiz Unit,FromDate
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,1000,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0300,Leaflet for Patanjali Neem Gold 1500ppm,200,Pcs.,UQC_pcs,2019-04-29 17:34:53
NG/1708/03 (5Ltr),PB0005,Patanjali Neem Gold 5Ltr,200, BOX,PB0051,Empty Bottle 5 Liter,200,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0056,Empty CV Box 5 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0063,Label for Patanjali Neem Gold 05 Ltr,200,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,4,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,1000,Ltr.,UQC_klr,2019-04-29 17:34:53
Neem Gold 1500ppm 1ltr (2018),PB0006,Patanjali Neem Gold 1Ltr,84, BOX,PB0050,Empty Bottle 1 Liter,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0064,Label for Patanjali Neem Gold 01 Ltr,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,1008,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0100,"Dose Cap for Neem Gold 0.25, 0.5, 1 Ltr",1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0300,Leaflet for Patanjali Neem Gold 1500ppm,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
